text/AK01042008CW241182005.txt:Mr.Abhinav Prasad, Advocate.
text/AK22102007S13602005.txt:Mr.Pravin Anand, Advocate.
text/AK23012008CW10522006.txt:Through: Mr. Deepak Sinha, Advocate.
text/AK23012008CW126722006.txt:Through: Mr.Rajendra Dhawan, Advocate.
text/AK23012008CW126722006.txt:Through : Mr.H.R. Kapoor, Advocate.
text/AK23012008CW57042007.txt:Mr. Diwan Singh, Advocate.
text/AK23012008CW57042007.txt:Ghai, Advocates.
text/AK23012008CW742008.txt:Mr.Dilip Singh, Advocate.
text/AK23012008CW81302007.txt:Kumar, Advocates.
text/AK23072007CMM7462007.txt:Mr.A.S. Chandhiok, Sr. Advocate
text/AK23072007CMM7462007.txt:with Ms.Tatini Bau, Advocate
text/AK23072007CMM7462007.txt:Gupta, Advocates.
text/AK24012008CW123742005.txt:Through: Mr.V.K. Tandon, Advocate.
text/AK24012008CW123742005.txt:Through : Mr.Mohd. Nayeemuddin, Advocate.
text/AK24012008CW48191996.txt:Through: Mr.Suresh Tripathi, Advocate.
text/AK24012008CW48191996.txt:Through : Mr.Rajiv Agarwal, Advocate.
text/AK24012008CW96872007.txt:Mr.Sachin Dutta, Advocate .
text/AK24012008CW96872007.txt:Mr.Anurag Mathur, Advocate for
text/AK24012008CW96872007.txt:Mullick, Advocates for
text/AK24032008CW22652008.txt:Through: Mr.A.K.Jain, Advocate.
text/AK24032008CW22672008.txt:Through: Mr.Rajesh Anand, Advocate.
text/AK24032008CW23082008.txt:Mr.S.C. Singhal, Advocate.
text/AK24032008CW23082008.txt:Mr.S.P. Sharma, Advocate for the
text/AK24032008CW55892006.txt:Through: Mr.Arati Mahajan, Advocate.
text/AK24032008CW55892006.txt:Through: Mr.G.S.Charya, Advocate.
text/AK24092007AA1262006.txt:Through: Mr.Gurmeet Bindra, Advocate.
text/AK24092007AA1262006.txt:circumstances I appoint Mr.S.M.Chopra, Advocate (Retd, Additional District
text/AK24092007S3051996.txt:Ms. Sunita Harish, Advocate
text/AK24092007S3051996.txt:Mr.Ashish Bhagat Advocate for
text/AK24092007S3051996.txt:Advocate for the defendant no.4.
text/AK24102007OMP932005.txt:Mr.V.K.Sharma Advocate.
text/AK24102007OMP932005.txt:Through : Mr. Siddharth Mridul Sr. Advocate with
text/AK24102007OMP932005.txt:respondent no.2 is terminated and Mr.Prem Kumar, Advocate (Retd.
text/AK25012008CW10452006.txt:Through: Mr.P.C.Sen, Advocate.
text/AK25012008CW10452006.txt:Through: Ms.Deepali Gupta, Advocate.
text/AK25012008CW4492008.txt:Through: Mr.Varun Prasad, Advocate.
text/AK25012008CW4492008.txt:by an advocate who was not a member of the Club and consequently
text/AK25012008CW4492008.txt:as an Advocate he represented
text/AK25022008CW13322008.txt:Through: Mrs.Avnish Ahlawat, Advocate.
text/AK25022008CW18052005.txt:Through: Mr. Subhash Mishra, Advocate.
text/AK25022008CW18052005.txt:Through : Mr. Javed Ahmed, Advocate.
text/AK25022008CW8272008.txt:Through: Mr.A.V.Rangam, Advocate.
text/AK25032008CW23372008.txt:Through: Mr.Varun Prasad, Advocate.
text/AK25042008CW31642008.txt:Sr.Advocate
text/AK25042008CW31642008.txt:Mr.Rakesh Mahajan, Advocate.
text/AK25042008CW31642008.txt:Ms.Sujata Kashyap, Advocate
text/AK25042008CW31652008.txt:Sr.Advocate
text/AK25042008CW31652008.txt:Mr.Rakesh Mahajan, Advocate.
text/AK25042008CW31652008.txt:Ms.Sujata Kashyap, Advocate
text/AK26022007CW62542006.txt:Through: Mr. Arvind Nigam, Advocate and Mr.
text/AK26022007CW62542006.txt:Sanjeev Nigam, Advocate for the Petitioner.
text/AK26022007CW62542006.txt:Through: Mr. V.P.Singh Sr.Advocate with
text/AK26022007CW62542006.txt:Mohinder J.S.Rupal, Advocate for the
text/AK26022007CW62542006.txt:Ms.Latika Chaudhary, Advocate for the
text/AK26032008CW27982006.txt:Mr.Satinder Verma, Advocate.
text/AK26032008CW47712007.txt:Mr.Mata Din, Advocate
text/AK26032008CW47712007.txt:Mr.Gaurav Sarin, Advocate.
text/AK26032008CW53682005.txt:Mr.Abhay N.Das, Advocate.
text/AK26032008CW53682005.txt:Mr.Anil Mittal, Advocate.
text/AK26032008CW66042006.txt:Advocates.
text/AK26032008CW66042006.txt:Through : Mr.B.S.Jain, Advocate.
text/AK26052008CCPCO7272007.txt:Advocate along with petitioner in
text/AK26052008CCPCO7272007.txt:Mr.Ravi Kant Chadha, Sr.Advocate
text/AK26052008CCPCO7272007.txt:Advocates for the respondent.
text/AK26052008CW64652007.txt:Mr.Mahabir Singh, Sr.Advocate
text/AK26052008CW64652007.txt:with Mr.Nikhil Jain, Advocate.
text/AK26052008CW64652007.txt:Through : Mr.V.K.Rao, Advocate for the
text/AK26052008CW64652007.txt:Mr.Suresh Kait, Advocate for the
text/AK26072007CP1442007.txt:Mr.Parag Tripathi, Sr. Advocate
text/AK26072007CP1442007.txt:with Mr. Kunal Tandon, Advocate
text/AK27022008CW15792008.txt:Mr. Sanjay Ghose , Advocate.
text/AK27022008CW19832006.txt:Mr.L.K. Garg, Advocates.
text/AK27022008CW19832006.txt:Through : Mr.S. Janani, Advocate for
text/AK27022008CW2831992.txt:Mr.Sunil Malhotra, Advocate
text/AK27022008CW2831992.txt:Ms.Jyoti Singh, Advocate
text/AK27042007CMM5802007.txt:Through: Mr.F.K.Jha, Advocate.
text/AK27052008CW39482007.txt:Advocates
text/AK27052008CW39482007.txt:Ms. Preetika Dwivedi, Advocate for the
text/AK27052008CW39482007.txt:Mr. Rakesh Gosain, Advocate for the
text/AK27092007CMI8452005.txt:Chandra, Advocates.
text/AK27092007CMI8452005.txt:Malhotra, Advocates for respondent
text/AK27092007CMI8452005.txt:Mr.Ajit Singh, Advocate for respondent
text/AK28022008CW124182006.txt:Through: Mr.Sewa Ram, Advocate.
text/AK28022008CW124182006.txt:Through : Mr.Varun Prasad, Advocate.
text/AK28052007CMM15312006.txt:Advocate
text/AK29012008CW21772006.txt:Through: Mr.G.S.Chaturvedi, Advocate.
text/AK29012008CW21772006.txt:Through : Mr.G.S.Charya, Advocate.
text/AK29022008CW16282008.txt:Mr.Umesh Singh, Advocate.
text/AK29022008CW88002007.txt:Ms.Saroj Bidawat, Advocate.
text/AK29022008CW88012007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW88022007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW88032007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW88042007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW88052007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW88062007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW89902007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW91892007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW91942007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW92222007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW92232007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW92962007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW93022007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29022008CW93182007.txt:Through: Ms.Saroj Bidawat, Advocate.
text/AK29102007AAP2552006.txt:Through: Mr.J.K.Dhingra, Advocate.
text/AK29102007AAP2552006.txt:Through : Ms.P.L.Gautam, Advocate.
text/AK29102007AAP2552006.txt:Consequently, I appoint Mr.S.M.Chopra Advocate,( Retired
text/AK29102007AAP3242005.txt:Through: Mr.J.K.Dhingra, Advocate.
text/AK29102007AAP3242005.txt:Through : Ms.Smita Shankar, Advocate.
text/AK29102007AAP3242005.txt:Consequently, I appoint Mr.S.M.Chopra Advocate,( Retired
text/AK29102007AAP3252005.txt:Through: Mr.J.K.Dhingra, Advocate.
text/AK29102007AAP3252005.txt:Through : Ms.Smita Shankar, Advocate.
text/AK29102007AAP3252005.txt:Consequently, I appoint Mr.S.M.Chopra Advocate, (Retired
text/AK29102007AAP3772007.txt:Through: Mr.Ravi Gupta, Advocate.
text/AK29102007AAP3772007.txt:17th March 2007 from Advocate Manu Bansal of the petitioner was
text/AK29102007S12952005.txt:Advocate with Mr.Amit Sibal,
text/AK29102007S12952005.txt:Ms.Geetika Panwar, Advocates for
text/AK29102007S12952005.txt:Mr.Vijay K. Gupta, Advocate
text/AK29102007S15162005.txt:Ms.Ishan Sahiwal, Advocate for
text/AK29102007S15162005.txt:Mr.Kalyan V, Advocate for the
text/AK29112007AAP1892006.txt:Mr.B.M. Sehgal, Advocate.
text/AK29112007AAP1892006.txt:Through: Mr.Sanjeev Sabharwal, Advocate.
text/AK29112007AAP1892006.txt:Chopra, Advocate, (Additional District Judge, Retd.),181, Deshbandhu
text/AK29112007AAP1902006.txt:Mr.B.M. Sehgal, Advocate.
text/AK29112007AAP1902006.txt:Through: Ms.Smita Shankar, Advocate.
text/AK29112007AAP1902006.txt:Chopra, Advocate, (Additional District Judge, Retd.),181, Deshbandhu
text/AK29112007AAP1912006.txt:Mr.B.M. Sehgal, Advocate.
text/AK29112007AAP1912006.txt:Through: Mr.Sanjeev Sabharwal, Advocate.
text/AK29112007AAP1912006.txt:Chopra, Advocate, (Additional District Judge, Retd.),181, Deshbandhu
text/AK30012008CW161912004.txt:Through: Mr.M.K.Bhardwaj, Advocate.
text/AK30012008CW161912004.txt:Through : Mr.Rajiv Aggarwal, Advocate.
text/AK30012008CW17861989.txt:Mr.Amitabh Narayan, Advocate.
text/AK30042007S1257A2000.txt:Through: Ms. Rekha Palli, Advocate
text/AK30042007S1257A2000.txt:Through : Mr. Shiv Khorana, Advocate.
text/AK30042007S1257A2000.txt:Through: Mr. Shiv Khorana, Advocate
text/AK30042007S1257A2000.txt:Through : Ms. Rekha Palli, Advocate.
text/AK30102007AAP4512006.txt:Through: Ms.Pooja Dhar, Advocate.
text/AK30102007S1972006.txt:Mr.Anil Kher, Sr.Advocate with
text/AK30102007S1972006.txt:Mr.Rishi Manchanda, Advocate.
text/AK30102007S1972006.txt:Kaul, Advocates.
text/AK30102007S1982006.txt:Through: Mr.Anil Kher, Sr.Advocate with
text/AK30102007S1982006.txt:Mr.Rishi Manchanda, Advocate.
text/AK30102007S1982006.txt:Kaul, Advocates.
text/AK30102007S1992006.txt:Mr.Anil Kher, Sr.Advocate with
text/AK30102007S1992006.txt:Mr.Rishi Manchanda, Advocate.
text/AK30102007S1992006.txt:Kaul, Advocates.
text/AK30102007S2002006.txt:Through: Mr.Anil Kher, Sr.Advocate with
text/AK30102007S2002006.txt:Mr.Rishi Manchanda, Advocate.
text/AK30102007S2002006.txt:Kaul, Advocates.
text/AK30102007S2012006.txt:Mr.Anil Kher, Sr.Advocate with
text/AK30102007S2012006.txt:Mr.Rishi Manchanda, Advocate.
text/AK30102007S2012006.txt:Kaul, Advocates.
text/AK30112007S11582005.txt:Mr.Sandeep Mittal, Advocate.
text/AK30112007S11582005.txt:Mr.Harish Malhotra, Sr.Advocate
text/AK30112007S11582005.txt:with Mr.Vibhu Bakhru, Advocate
text/AK30112007S11582005.txt:Mr.Arvind Nigam, Advocate for
text/AK31032008CW26222008.txt:Mr.Ajay Paul, Advocate.
text/AK31102007S17552007.txt:Mr. Chetan Sharma Sr. Advocate
text/AK31102007S17552007.txt:With Mr. Santosh Chauriha, Advocate
text/AK31102007S17552007.txt:person and Advocate for Defendant
text/AK31102007S17552007.txt:Mr.A.P.Dhamija Advocate for
text/AK31102007S17552007.txt:Advocate for Defendant no.4
text/AKS01022008CW165632004.txt:Mr. M.K. Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Ms. Manpreet Kaur, Advocates
text/AKS01022008CW165632004.txt:Mr. Arun Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Mr. M.K. Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Ms. Manpreet Kaur, Advocates
text/AKS01022008CW165632004.txt:Mr. Arun Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Mr. Sandeep Sethi, Sr. Advocate
text/AKS01022008CW165632004.txt:with M.K. Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Ms. Manpreet Kaur, Advocates
text/AKS01022008CW165632004.txt:Mr. Arun Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Ms. Manpreet Kaur, Advocates
text/AKS01022008CW165632004.txt:Mr. Arun Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Mr. M.K. Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Ms. Manpreet Kaur, Advocates
text/AKS01022008CW165632004.txt:Mr. Arun Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Mr. Sandeep Sethi, Sr. Advocate
text/AKS01022008CW165632004.txt:with M.K. Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Ms. Manpreet Kaur, Advocates
text/AKS01022008CW165632004.txt:Mr. Arun Bhardwaj, Advocate
text/AKS01022008CW165632004.txt:Ms. Manpreet Kaur, Advocates
text/AKS01022008CW165632004.txt:Mr. Arun Bhardwaj, Advocate
text/AKS01022008CW44862002.txt:Goel, Advocates
text/AKS01022008CW44862002.txt:Ms. Latika Chaudury, Advocates
text/AKS01022008CW7761995.txt:Ms. Rekha Palli, Advocate
text/AKS01022008CW7761995.txt:Ms. Rachitta Mehra, Advocates
text/AKS01042008CW138952006.txt:Sr. Advocates with Ms. Nandini Sahni,
text/AKS01042008CW138952006.txt:Mr. H.S. Phoolka, Sr. Advocates with
text/AKS01042008CW138952006.txt:Ms. Geetanjali Chaurasia, Advocates
text/AKS01042008CW138952006.txt:Sr. Advocates with Ms. Nandini Sahni,
text/AKS01042008CW138952006.txt:Mr. H.S. Phoolka, Sr. Advocates with
text/AKS01042008CW138952006.txt:Ms. Geetanjali Chaurasia, Advocates
text/AKS01122006BA42112006.txt:Mr. Sunil Kumar Bharti, Advocate
text/AKS02052008CW17512006.txt:Thru. Mr.K.K.Rohtagi,Advocate.
text/AKS07042008CW20162004.txt:Through: Mr. D.S.Kauntae, Advocate
text/AKS07092007CW55822007.txt:Thru. Mr.Sandeep Sethi,Sr.Advocate with
text/AKS07092007CW55822007.txt:Advocates.
text/AKS07092007CW55822007.txt:Thru. Mr.Keshav Dayal,Sr.Advocate
text/AKS07092007CW55822007.txt:with Mr.Harsh Jaidka, Advocate for
text/AKS07092007CW55822007.txt:Mr.A.K.Singla,Sr.Advocate with
text/AKS07092007CW55822007.txt:Mr.Pankaj Gupta, Advocate for
text/AKS07092007CW55822007.txt:Thru. Mr.Sandeep Sethi,Sr.Advocate with
text/AKS07092007CW55822007.txt:Advocates.
text/AKS07092007CW55822007.txt:Thru. Mr.Keshav Dayal,Sr.Advocate
text/AKS07092007CW55822007.txt:with Mr.Harsh Jaidka, Advocate for
text/AKS07092007CW55822007.txt:Mr.A.K.Singla,Sr.Advocate with
text/AKS07092007CW55822007.txt:Mr.Pankaj Gupta, Advocate for
text/AKS09022007AAP242006.txt:Ms. Ruchi Singh, Advocates
text/AKS09022007AAP242006.txt:Mr. L.R. Khatana, Advocate
text/AKS11012008CW10832002.txt:Mr. J.M. Khanna, Advocate
text/AKS11012008CW10832002.txt:Ms. Geetanjali Mohan, Advocate
text/AKS11012008CW10832002.txt:Mr. J.M. Khanna, Advocate
text/AKS11012008CW10832002.txt:Ms. Geetanjali Mohan, Advocate
text/AKS11012008CW1412007.txt:Mr. Abhay K. Das, Advocate
text/AKS11012008CW1412007.txt:Mr. Rajiv Bansal, Advocate
text/AKS11012008CW1412007.txt:Mr. Sanjay Mann, Advocate
text/AKS11012008CW1412007.txt:Ms. Priyanka Singh, Advocates
text/AKS11012008CW1412007.txt:Mr. Rajiv Bansal, Advocate
text/AKS11012008CW1412007.txt:Mr. Neeraj Malhotra, Advocate
text/AKS11012008CW1412007.txt:Ms. Priyanka Singh, Advocates
text/AKS11012008CW1412007.txt:Mr. Rajiv Bansal, Advocate
text/AKS11012008CW1412007.txt:Mr. R.K. Singh, Advocates
text/AKS11012008CW1412007.txt:Ms. Priyanka Singh, Advocates
text/AKS11012008CW1412007.txt:Mr. Rajiv Bansal, Advocate
text/AKS11012008CW1412007.txt:Mr. Neeraj Malhotra, Advocate
text/AKS11012008CW1412007.txt:Ms. Priyanka Singh, Advocates
text/AKS11012008CW1412007.txt:Mr. Rajiv Bansal, Advocate
text/AKS11012008CW1412007.txt:Mr. R.K. Singh, Advocates
text/AKS11012008CW28442003.txt:Mr. R.V. Sinha, Advocate
text/AKS11012008CW28442003.txt:Mr. B. Krishan, Advocate
text/AKS11012008CW83772007.txt:Mr. Ali Afsar, Advocates
text/AKS11012008CW83772007.txt:Mr. Amit K. Paul, Advocate
text/AKS11012008CW83772007.txt:Basic Training on the other, the learned Advocate General forcefully pinpointed how
text/AKS11012008CW84172007.txt:Mr. Ali Afsar, Advocates
text/AKS11012008CW84172007.txt:Mr. Amit K. Paul, Advocate
text/AKS11012008S227-A1984.txt:Mr. Atul Batra, Advocate
text/AKS11012008S227-A1984.txt:Mr. Rajiv Saxena, Advocate
text/AKS14032008CW18471984.txt:Thru. Major K. Ramesh, Advocate.
text/AKS14032008CW18471984.txt:Thru. Mr.Mohan Kumar, Advocate with
text/AKS14032008CW39491998.txt:briefing Advocate in the office of the counsel for the petitioner. The
text/AKS14032008CW39491998.txt:briefing Advocate in the office of the counsel for the petitioner, was
text/AKS14032008CW62722007.txt:Headquarters in consultation with the Judge Advocate
text/AKS14092007CW65752006.txt:Through Mr.V.P. Singh, Sr. Advocate
text/AKS15022008CW61411999.txt:through : Mr. Sidhartha Sangal, Advocate
text/AKS15022008CW61411999.txt:through : Ms. Barkha Babbar, Advocate
text/AKS18012008CW178592006.txt:Thru. Mr.O.P.Saxena, Advocate.
text/AKS18012008CW178592006.txt:Thru. Mr.Dalip Mehra, Advocate.
text/AKS18012008CW30322005.txt:Chaudhry, Advocates.
text/AKS18012008CW30322005.txt:Mr.Arun Sharma,Advocates.
text/AKS18012008CW64162007.txt:Thru. Mr. Neeraj Kishan Kaul, Sr. Advocate
text/AKS18012008CW64162007.txt:Mr.Manik Dogra, Advocates.
text/AKS18012008CW64162007.txt:Sr. Advocates with Ms.Anjana Gosain and
text/AKS18012008CW64162007.txt:Ms.Kanika Agnihotri, Advocates.
text/AKS18012008CW72722007.txt:Mr. K.G. Raghavan, Sr. Advocate
text/AKS18012008CW72722007.txt:Mr. Rahul Sharma, Advocates
text/AKS18012008CW72722007.txt:Mr. Rajiv Nayyar, Sr. Advocate
text/AKS18012008CW72722007.txt:with Ms.Manisha Dhir, Advocate
text/AKS18012008CW72722007.txt:Mr. Parag Tripathi, Sr. Advocate
text/AKS18012008CW72722007.txt:with Ms. Vismai Rao, Advocate
text/AKS18012008CW72722007.txt:Ms. Priya Kumar, Advocates
text/AKS18012008CW72722007.txt:for Rs.28 crore received from Law Consult Advocates of
text/AKS18012008OMP4652005.txt:Mr. Rajiv Nayar, Sr. Advocate
text/AKS18012008OMP4652005.txt:A.P. Singh, Advocates
text/AKS18012008OMP4652005.txt:Mr. Parag Tripathi, Sr. Advocate
text/AKS18012008OMP4652005.txt:Advocate
text/AKS18012008OMP4652005.txt:Mr. Rajiv Nayar, Sr. Advocate
text/AKS18012008OMP4652005.txt:A.P. Singh, Advocates
text/AKS18012008OMP4652005.txt:Mr. Parag Tripathi, Sr. Advocate
text/AKS18012008OMP4652005.txt:Advocate
text/AKS18012008OMP4652005.txt:Mr. Rajiv Nayar, Sr. Advocate
text/AKS18012008OMP4652005.txt:A.P. Singh, Advocates
text/AKS18012008OMP4652005.txt:Mr. Parag Tripathi, Sr. Advocate
text/AKS18012008OMP4652005.txt:Advocate
text/AKS20082007CRLMM33242003.txt:Ms.Seema Gulati,Advocates
text/AKS20082007CRLMM33242003.txt:Mr.U.S.Prasad,Advocates.
text/AKS20082007CRLMM33242003.txt:Delhi High Court by Advocate Shri Harinder Singh Chaudhari in which the
text/AKS20092007RFA5752005.txt:Singh, Advocate, appeared for the respondent.
text/AKS20122007CW121302004.txt:Senior Advocate with
text/AKS20122007CW83852002.txt:Mr. V.K. Tandon, Advocate
text/AKS20122007CW83852002.txt:Mr. Sudarshan Rajan, Advocate
text/AKS27112006BA16132006.txt:Advocates
text/AKS28012008CW125872006.txt:Mr. Alok Kishor, Advocate
text/AKS28012008CW125872006.txt:Ms.Liny K.Nambiar, Advocate
text/AKS28012008CW15952007.txt:Mr. R. Nanavaty, Advocate
text/AKS28012008CW15952007.txt:Mr. Hemant Gupta, Advocate
text/AKS28012008CW52132000.txt:Mr. V.K. Sharma, Advocate
text/AKS28012008CW52132000.txt:Ms. Sonia Mathur, Advocate
text/AKS28012008CW55861998.txt:Dr. G.S. Sangwan, Advocate
text/AKS28012008CW55861998.txt:Mr. J.P. Sharma, Advocate
text/AKS28032008CW25111998.txt:Sr. Advocate with Ms.Madhu Saran
text/AKS30112007CP971985.txt:Advocates
text/AKS30112007CP971985.txt:Mr. D.R. Thadani, Advocate
text/AKS30112007CP971985.txt:Mr. B.N. Nayyar, Advocate
text/AKS31012007BA43972006.txt:Mr. Sandeep Sethi, Sr. Advocates
text/AKS31012007BA43972006.txt:Mr. Mike Desai, Advocates
text/AKS31012007BA43972006.txt:Advocates for the complainant.
text/AKS31102007CW16392006.txt:Thru. Mr.Arun Bhardwaj, Advocate.
text/AKS31102007CW16392006.txt:Thru. Ms.Avnish Ahlawat, Advocate.
text/APS08082007FAOOS582007.txt:Through Ms.Monica Sharma, Advocate
text/APS08082007FAOOS582007.txt:and Ms.Kiran Dharam, Advocates
text/AS01102007S12922002.txt:Mr.Hameed Shaikh, Advocates
